Rank,Attitude,Inc_deg,Alt_km,LTAN_h,Passes_BA,Visible_min,Eclipse_%,BestRad,Score,Rad+X_Wh,Rad+X_Tcm5,Rad+X_Tbat,Rad+X_Panels,Rad+X_ThermalKey,Rad-X_Wh,Rad-X_Tcm5,Rad-X_Tbat,Rad-X_Panels,Rad-X_ThermalKey,Rad+Y_Wh,Rad+Y_Tcm5,Rad+Y_Tbat,Rad+Y_Panels,Rad+Y_ThermalKey,Rad-Y_Wh,Rad-Y_Tcm5,Rad-Y_Tbat,Rad-Y_Panels,Rad-Y_ThermalKey,Rad+Z_Wh,Rad+Z_Tcm5,Rad+Z_Tbat,Rad+Z_Panels,Rad+Z_ThermalKey,Rad-Z_Wh,Rad-Z_Tcm5,Rad-Z_Tbat,Rad-Z_Panels,Rad-Z_ThermalKey
99,10x15_nadir,98.20,550,9.50,3,20.0,33.3,+Y,61.5,71.48,43.7,21.7,-Y+-X+-Z++Z,1.342,54.36,34.1,21.9,-Y+-Z++Z++X,1.328,71.03,43.7,23.2,-Y+-X+-Z++Z,1.354,44.61,28.0,15.6,-X+-Z++Z++X,1.263,63.83,43.5,25.9,-Y+-X+-Z++X,1.326,63.92,42.2,21.4,-Y+-X++Z++X,1.298
100,10x10_nadir,97.60,650,14.00,3,24.0,34.3,+Y,61.4,59.67,33.5,20.8,-Y+-X+-Z++Z,1.367,59.07,31.9,15.1,-Y++X+-Z++Z,1.325,71.98,40.7,20.8,-Y+-X++X+-Z,1.375,50.15,26.9,13.1,-X++X+-Z++Z,1.296,72.05,42.3,20.2,-Y+-X++X+-Z,1.350,60.07,35.5,19.6,-Y+-X++X++Z,1.333
101,10x10_nadir,98.20,650,14.00,3,24.0,34.3,+Y,61.3,59.67,33.5,20.9,-Y+-X+-Z++Z,1.368,59.08,31.9,15.1,-Y++X+-Z++Z,1.325,71.99,40.7,20.8,-Y+-X++X+-Z,1.375,50.16,26.9,13.2,-X++X+-Z++Z,1.297,72.06,42.4,20.2,-Y+-X++X+-Z,1.348,60.07,35.5,19.6,-Y+-X++X++Z,1.333
102,10x10_nadir,98.50,650,14.00,3,24.0,34.3,+Y,61.3,59.69,33.5,20.9,-Y+-X+-Z++Z,1.368,59.08,31.9,15.1,-Y++X+-Z++Z,1.325,72.00,40.7,20.8,-Y+-X++X+-Z,1.375,50.17,26.9,13.2,-X++X+-Z++Z,1.297,72.07,42.5,20.2,-Y+-X++X+-Z,1.347,60.08,35.5,19.5,-Y+-X++X++Z,1.332
103,10x15_nadir,97.60,550,9.50,3,20.0,33.4,+Y,61.1,71.42,43.5,21.7,-Y+-X+-Z++Z,1.344,54.28,33.9,21.9,-Y+-Z++Z++X,1.329,70.97,43.5,23.2,-Y+-X+-Z++Z,1.355,44.49,28.0,15.3,-X+-Z++Z++X,1.259,63.76,43.3,25.9,-Y+-X+-Z++X,1.328,63.84,42.1,21.3,-Y+-X++Z++X,1.297
104,10x15_nadir,98.50,550,9.50,3,20.0,33.3,+Y,61.1,71.46,43.8,21.4,-Y+-X+-Z++Z,1.339,54.32,34.2,21.6,-Y+-Z++Z++X,1.323,71.01,43.7,22.9,-Y+-X+-Z++Z,1.350,44.62,27.9,15.5,-X+-Z++Z++X,1.263,63.78,43.5,25.5,-Y+-X+-Z++X,1.321,63.91,42.2,21.1,-Y+-X++Z++X,1.294
105,10x15_nadir,98.50,550,13.50,4,22.0,35.8,-Y,61.0,65.88,37.4,18.5,-X++Y+-Z++Z,1.345,45.19,25.9,15.8,+Y+-Z++Z++X,1.297,49.18,28.7,16.2,-X+-Z++Z++X,1.297,65.43,37.7,20.0,-X++Y+-Z++Z,1.352,56.87,36.2,22.4,-X++Y+-Z++X,1.326,57.01,35.2,17.6,-X++Y++Z++X,1.292
106,10x10_nadir,98.80,650,14.00,3,24.0,34.4,+Y,60.9,59.69,33.4,20.8,-Y+-X+-Z++Z,1.368,59.07,31.9,15.1,-Y++X+-Z++Z,1.325,72.00,40.6,20.8,-Y+-X++X+-Z,1.375,50.18,26.9,13.1,-X++X+-Z++Z,1.296,72.07,42.4,20.1,-Y+-X++X+-Z,1.348,60.07,35.4,19.5,-Y+-X++X++Z,1.333
107,10x10_nadir,97.90,650,14.00,3,24.0,34.4,+Y,60.9,59.66,33.5,20.9,-Y+-X+-Z++Z,1.367,59.07,31.9,15.1,-Y++X+-Z++Z,1.326,71.98,40.7,20.8,-Y+-X++X+-Z,1.375,50.15,26.9,13.2,-X++X+-Z++Z,1.296,72.05,42.4,20.2,-Y+-X++X+-Z,1.349,60.06,35.5,19.6,-Y+-X++X++Z,1.333
108,10x10_nadir,97.60,650,10.00,3,22.0,34.3,-Y,60.6,59.65,32.7,20.8,+Y+-X+-Z++Z,1.376,59.16,31.9,15.0,+Y++X+-Z++Z,1.325,50.15,27.6,13.0,-X++X+-Z++Z,1.286,72.06,40.0,20.7,+Y+-X++X+-Z,1.383,72.13,41.7,20.1,+Y+-X++X+-Z,1.357,60.22,34.4,19.9,+Y+-X++X++Z,1.351
109,10x10_nadir,97.90,650,10.00,3,22.0,34.3,-Y,60.6,59.64,32.7,20.8,+Y+-X+-Z++Z,1.376,59.16,31.8,15.0,+Y++X+-Z++Z,1.326,50.17,27.6,13.0,-X++X+-Z++Z,1.286,72.05,40.1,20.7,+Y+-X++X+-Z,1.383,72.12,41.7,20.1,+Y+-X++X+-Z,1.357,60.22,34.5,20.0,+Y+-X++X++Z,1.351
110,10x15_nadir,98.80,550,13.50,4,22.0,35.9,-Y,60.6,65.85,37.3,18.5,-X++Y+-Z++Z,1.346,45.14,25.8,15.1,+Y+-Z++Z++X,1.289,49.16,28.7,15.6,-X+-Z++Z++X,1.291,65.41,37.6,20.0,-X++Y+-Z++Z,1.353,56.84,36.1,22.3,-X++Y+-Z++X,1.326,56.99,35.2,17.6,-X++Y++Z++X,1.292
111,10x15_nadir,98.80,550,9.50,3,20.0,33.4,+Y,60.2,71.41,43.8,21.0,-Y+-X++Z+-Z,1.334,54.25,34.2,21.1,-Y++Z+-Z++X,1.318,70.96,43.7,22.5,-Y+-X++Z+-Z,1.345,44.62,27.7,15.2,-X++Z+-Z++X,1.262,63.71,43.5,25.0,-Y+-X+-Z++X,1.316,63.86,42.2,20.7,-Y+-X++Z++X,1.290
112,10x15_nadir,97.60,650,14.00,3,24.0,34.3,-Y,60.1,69.29,40.3,19.8,+Y+-X+-Z++Z,1.348,51.15,30.0,18.6,+Y+-Z++Z++X,1.321,47.58,27.8,14.7,-X+-Z++Z++X,1.280,68.84,40.5,21.2,+Y+-X+-Z++Z,1.357,61.37,40.0,23.7,+Y+-X+-Z++X,1.327,60.99,38.5,19.0,+Y+-X++Z++X,1.296
113,10x10_nadir,98.80,550,13.00,4,22.0,36.3,+Y,60.0,50.06,30.7,13.2,-X+-Z+-Y++Z,1.249,50.20,25.5,10.0,+X+-Z+-Y++Z,1.283,64.30,34.0,18.5,-X++X+-Z+-Y,1.374,53.19,28.0,14.3,-X++X+-Z++Z,1.318,64.40,35.4,17.8,-X++X+-Z+-Y,1.350,49.86,27.0,14.9,-X++X+-Y++Z,1.311
