Rank,Attitude,Inc_deg,Alt_km,LTAN_h,Passes_BA,Visible_min,Eclipse_%,BestRad,Score,Rad+X_Wh,Rad+X_Tcm5,Rad+X_Tbat,Rad+X_Panels,Rad+X_ThermalKey,Rad-X_Wh,Rad-X_Tcm5,Rad-X_Tbat,Rad-X_Panels,Rad-X_ThermalKey,Rad+Y_Wh,Rad+Y_Tcm5,Rad+Y_Tbat,Rad+Y_Panels,Rad+Y_ThermalKey,Rad-Y_Wh,Rad-Y_Tcm5,Rad-Y_Tbat,Rad-Y_Panels,Rad-Y_ThermalKey,Rad+Z_Wh,Rad+Z_Tcm5,Rad+Z_Tbat,Rad+Z_Panels,Rad+Z_ThermalKey,Rad-Z_Wh,Rad-Z_Tcm5,Rad-Z_Tbat,Rad-Z_Panels,Rad-Z_ThermalKey
39,10x15_nadir,98.50,650,13.00,1254,8912.0,33.9,+X,67.0,24869.97,43.4,15.1,+Y+-X+-Z++Z,199.668,17998.54,34.7,8.8,+Y+-Z++Z++X,144.743,17709.22,28.1,14.1,-X+-Z++Z++X,142.563,24689.73,43.4,18.3,+Y+-X+-Z++Z,198.259,21781.42,43.7,17.7,+Y+-X+-Z++X,174.981,21822.89,42.1,15.1,+Y+-X++Z++X,175.309
40,10x10_nadir,97.60,650,14.00,1247,8792.0,34.8,+Z,66.9,20178.33,33.5,10.2,-Y+-X+-Z++Z,162.210,20231.62,31.9,6.6,-Y++X+-Z++Z,162.621,25130.50,40.7,17.4,-Y+-X++X+-Z,201.809,19214.38,26.9,12.6,-X++X+-Z++Z,154.604,25166.17,42.4,16.1,-Y+-X++X+-Z,202.060,20340.38,35.5,11.9,-Y+-X++X++Z,163.499
41,10x10_nadir,98.50,650,9.50,1251,8942.0,34.5,+Z,66.8,20320.11,37.0,9.9,+Y+-X+-Z++Z,163.298,20371.95,35.3,6.4,+Y++X+-Z++Z,163.699,19025.34,27.1,12.2,-X++X+-Z++Z,153.085,25203.00,43.1,17.1,+Y+-X++X+-Z,202.356,25238.34,44.9,15.8,+Y+-X++X+-Z,202.603,20502.34,39.0,11.7,+Y+-X++X++Z,164.747
42,10x15_nadir,98.20,650,10.00,1250,9006.0,34.8,+X,66.8,24228.21,40.4,14.6,-X+-Y+-Z++Z,194.566,16952.26,30.0,8.2,-Y+-Z++Z++X,136.425,24048.07,40.5,18.0,-X+-Y+-Z++Z,193.158,18218.08,27.9,14.1,-X+-Z++Z++X,146.636,20980.74,40.0,17.1,-X+-Y+-Z++X,168.617,21023.90,38.5,14.7,-X+-Y++Z++X,168.956
43,10x10_nadir,97.90,650,11.00,1249,8990.0,35.5,+Z,66.6,18433.85,30.4,7.4,-X+-Z++Y++Z,148.265,18486.46,25.2,3.9,+X+-Z++Y++Z,148.715,19797.42,27.7,12.6,-X++X+-Z++Z,159.259,23662.50,35.0,15.1,-X++X+-Z++Y,190.113,23704.17,36.6,13.7,-X++X+-Z++Y,190.413,18544.23,28.2,9.3,-X++X++Y++Z,149.195
44,10x10_nadir,98.50,600,14.00,1204,8082.0,28.4,+Z,66.5,24143.31,48.7,21.3,-Y+-X+-Z++Z,193.851,24178.46,46.5,15.7,-Y++X+-Z++Z,194.103,27782.14,50.6,21.3,-Y+-X++X+-Z,222.938,15924.84,27.2,11.8,-X++X+-Z++Z,128.276,27808.09,52.6,20.7,-Y+-X++X+-Z,223.114,24547.23,51.7,20.1,-Y+-X++X++Z,197.033
45,10x15_nadir,97.60,650,11.00,1246,9040.0,35.0,+X,66.1,23963.79,41.3,15.2,-X+-Y+-Z++Z,192.446,16569.70,31.1,8.9,-Y+-Z++Z++X,133.357,23783.51,41.3,18.5,-X+-Y+-Z++Z,191.037,18360.91,28.1,14.0,-X+-Z++Z++X,147.775,20671.07,40.9,17.7,-X+-Y+-Z++X,166.134,20714.58,39.3,15.3,-X+-Y++Z++X,166.478
46,10x10_nadir,97.90,650,13.00,1247,8850.0,35.6,+Z,66.0,18357.43,30.0,8.4,-X+-Z+-Y++Z,147.669,18409.93,25.9,4.9,+X+-Z+-Y++Z,148.104,23595.81,35.6,15.9,-X++X+-Z+-Y,189.581,19815.66,27.4,12.6,-X++X+-Z++Z,159.409,23637.74,37.1,14.6,-X++X+-Z+-Y,189.883,18466.36,28.9,10.3,-X++X+-Y++Z,148.573
47,10x15_nadir,98.20,650,13.00,1251,8884.0,35.0,+X,65.8,23900.12,39.7,14.3,-X++Y+-Z++Z,191.948,16494.77,29.0,7.9,+Y+-Z++Z++X,132.774,18370.06,28.1,14.1,-X+-Z++Z++X,147.850,23719.87,39.8,17.7,-X++Y+-Z++Z,190.538,20603.26,39.3,16.9,-X++Y+-Z++X,165.604,20646.70,37.8,14.4,-X++Y++Z++X,165.945
48,10x15_nadir,98.50,600,14.00,1204,8082.0,28.4,+X,65.4,26832.36,51.4,20.2,+Y+-X+-Z++Z,215.319,21893.86,49.5,19.1,+Y+-Z++Z++X,175.823,15083.08,28.1,13.8,-X+-Z++Z++X,121.552,26647.07,51.0,21.7,+Y+-X+-Z++Z,213.856,24564.99,54.9,24.2,+Y+-X+-Z++X,197.176,24593.43,53.0,19.5,+Y+-X++Z++X,197.380
49,10x10_nadir,97.60,600,9.50,1196,8050.0,32.6,+Z,65.3,22923.05,40.7,22.0,+Y+-X+-Z++Z,184.196,22970.23,38.9,17.3,+Y++X+-Z++Z,184.548,17215.07,27.4,12.1,-X++X+-Z++Z,138.599,27120.61,45.8,22.6,+Y+-X++X+-Z,217.717,27146.25,47.8,22.0,+Y+-X++X+-Z,217.893,23202.25,43.0,22.2,+Y+-X++X++Z,186.402
50,10x10_nadir,98.20,600,14.00,1202,8078.0,31.9,+Z,65.2,23065.54,41.7,20.6,-Y+-X+-Z++Z,185.309,23110.45,39.8,15.7,-Y++X+-Z++Z,185.642,27165.74,46.4,21.3,-Y+-X++X+-Z,218.059,16969.58,27.2,11.7,-X++X+-Z++Z,136.633,27191.71,48.4,20.7,-Y+-X++X+-Z,218.236,23369.21,44.2,20.2,-Y+-X++X++Z,187.703
51,10x10_nadir,98.80,650,12.50,1253,8946.0,33.7,+Z,65.1,20814.01,39.3,6.6,-Y+-X+-Z++Z,167.187,20863.48,37.6,3.1,-Y++X+-Z++Z,167.569,25532.65,44.5,14.4,-Y+-X++X+-Z,204.949,18607.34,27.2,11.7,-X++X+-Z++Z,149.736,25566.74,46.4,13.0,-Y+-X++X+-Z,205.185,21039.22,41.5,8.5,-Y+-X++X++Z,168.981
52,10x10_nadir,98.20,650,10.50,1248,8980.0,35.5,+Z,65.1,18586.53,31.7,6.4,-X+-Z++Y++Z,149.459,18639.09,27.3,2.8,+X+-Z++Y++Z,149.900,19719.93,27.8,12.5,-X++X+-Z++Z,158.636,23782.75,36.7,14.2,-X++X+-Z++Y,191.045,23823.84,38.3,12.7,-X++X+-Z++Y,191.340,18704.80,30.2,8.3,-X++X++Y++Z,150.444
53,10x15_nadir,97.60,650,14.00,1247,8792.0,34.8,+X,64.7,24176.24,40.5,13.8,-X++Y+-Z++Z,194.142,16867.04,30.0,7.2,+Y+-Z++Z++X,135.733,18260.40,27.8,14.1,-X+-Z++Z++X,146.977,23996.09,40.5,17.2,-X++Y+-Z++Z,192.735,20915.75,40.0,16.3,-X++Y+-Z++X,168.089,20959.22,38.5,13.8,-X++Y++Z++X,168.430
54,10x15_nadir,98.50,650,9.50,1251,8942.0,34.5,+X,64.6,24245.71,43.1,13.5,-X+-Y+-Z++Z,194.662,17072.27,34.2,6.9,-Y+-Z++Z++X,137.320,24065.47,43.0,16.9,-X+-Y+-Z++Z,193.255,18074.87,27.4,13.9,-X+-Z++Z++X,145.496,21039.81,43.3,16.0,-X+-Y+-Z++X,169.038,21082.11,41.8,13.5,-X+-Y++Z++X,169.370
55,10x10_nadir,98.80,600,13.50,1203,8110.0,26.5,+Z,64.6,24244.37,58.8,17.0,-Y+-X+-Z++Z,194.491,24274.78,57.3,14.0,-Y++X+-Z++Z,194.722,27794.97,56.5,20.6,-Y+-X++X+-Z,222.959,15923.65,27.6,11.7,-X++X+-Z++Z,128.261,27823.08,58.1,19.9,-Y+-X++X+-Z,223.157,24639.85,62.8,18.9,-Y+-X++X++Z,197.623
56,10x10_nadir,98.20,650,12.50,1251,8898.0,35.6,+Z,64.4,18128.12,28.5,6.1,-X+-Z+-Y++Z,145.830,18180.08,26.6,2.5,+X+-Z+-Y++Z,146.233,23383.54,36.1,13.9,-X++X+-Z+-Y,187.856,19830.94,27.2,12.5,-X++X+-Z++Z,159.532,23426.17,37.7,12.5,-X++X+-Z+-Y,188.163,18237.83,29.5,8.0,-X++X+-Y++Z,146.714
57,10x15_nadir,97.90,650,11.00,1249,8990.0,35.5,+X,64.4,22706.76,34.4,11.2,-X+-Y+-Z++Z,182.436,14892.04,24.3,4.2,-Y+-Z++Z++X,119.976,22526.14,34.7,14.8,-X+-Y+-Z++Z,181.023,18835.70,28.1,14.0,-X+-Z++Z++X,151.574,19255.03,33.3,13.7,-X+-Y+-Z++X,154.861,19298.43,32.0,11.1,-X+-Y++Z++X,155.199
58,10x10_nadir,97.60,650,11.50,1247,9020.0,35.6,+Z,64.4,18210.08,29.8,6.6,-X+-Z++Y++Z,146.475,18262.26,28.7,3.1,+X+-Z++Y++Z,146.870,19824.19,27.3,12.5,-X++X+-Z++Z,159.477,23458.96,37.6,14.4,-X++X+-Z++Y,188.446,23501.36,39.2,13.0,-X++X+-Z++Y,188.751,18319.71,31.3,8.5,-X++X++Y++Z,147.351
59,10x10_nadir,97.90,600,9.50,1197,7998.0,34.0,+Z,64.4,21842.07,36.8,17.5,+Y+-X+-Z++Z,175.551,21893.18,35.5,14.6,+Y++X+-Z++Z,175.948,18022.22,27.4,12.8,-X++X+-Z++Z,145.063,26359.31,43.3,22.6,+Y+-X++X+-Z,211.659,26387.88,45.2,22.0,+Y+-X++X+-Z,211.858,22039.60,39.0,19.4,+Y+-X++X++Z,177.124
60,10x10_nadir,98.80,550,14.00,1141,7226.0,16.9,+Z,64.4,26100.92,59.4,22.2,-Y+-X+-Z++Z,209.387,26113.89,58.0,17.0,-Y++X+-Z++Z,209.456,28630.81,57.2,22.7,-Y+-X++X+-Z,229.658,13198.74,27.6,11.7,-X++X+-Z++Z,106.463,28654.33,58.8,22.0,-Y+-X++X+-Z,229.820,26434.82,63.4,21.6,-Y+-X++X++Z,212.002
